nom;details;adresse;ville;longitude;latitude
LE PENJAB;Restaurant de spécialités;14 RUE SAINTE BARBE;35400 ST MALO;-2.024579;48.6505605
LE PETIT BAIGNEUR;Restaurant traditionnel;14 RUE RALLIER DU BATY;35000 RENNES;-1.6812777526978;48.113035753535
LE PETIT CABOULOT;Restaurant traditionnel;29 AVENUE LOUIS BARTHOU;35000 RENNES;-1.6714282509996;48.10491251
LE PETIT CRÊPIER;Restaurant traditionnel;6 RUE SAINTE BARBE;35400 ST MALO;-2.0238808148768;48.649777019707
LE PETIT ST LU;Salons de thé;91 boulevard du Général de Gaulle;35800 ST LUNAIRE;-2.1079149469996;48.636482601
LE PHARE;Restaurant traditionnel;6 QUAI ADMINISTRATEUR CHEF THOMAS;35260 CANCALE;-1.8550247119996;48.675454457
LE PICCADILLY;Brasserie;15 Galerie du Théâtre;35000 RENNES;-1.6784097;48.111048
LE PICCADILLY;Brasserie;1 PLACE DE LA MAIRIE;35000 RENNES;-1.6802526609996;48.11161917
LE PONTON CAFÉ RESTAURANT;Restaurant traditionnel;PORT DES BAS SABLONS;35400 ST MALO;-2.0190871961279;48.637598174453
LE POT DE BEURRE;Restaurant de spécialités;2 PLACE PONTHUAL;35800 ST LUNAIRE;-2.1075968009995;48.633622233
LE POURQUOI PAS;Restaurant traditionnel;8 RUE EMILE BRIDEL;35640 MARTIGNE FERCHAUD;-1.3181202278838;47.831000102689
LE PROVENCAL;Brasserie;22 COURS PDT J FITZGERALD KENNEDY;35000 RENNES;-1.708974;48.121440485429
LE Q DE POULE;Restaurant traditionnel;37 rue Vasselot;35000 RENNES;-1.6770364;48.1086413
LE RELAIS DES PRINCES;Restaurant traditionnel;11 RUE DES PRINCES;35270 COMBOURG;-1.7522918929996;48.408553577
LE REPAIRE;Restaurant traditionnel;1 BOULEVARD PIERRE BARBOT;35530 NOYAL SUR VILAINE;-1.5253454869996;48.114952151
LE RESTO THAI;Restaurant de spécialités;19 BOULEVARD WILSON;35800 DINARD;-2.0533327259996;48.635152987
LE ROMANTIC;Restaurant traditionnel;12 PLACE DES DEPORTES;35270 COMBOURG;-1.7532299649995;48.407365890001
LE ROYAL;Brasserie;3 PLACE DU CALVAIRE;35000 RENNES;-1.6810724074384;48.110888536211
LE SAINT SAMSON;Restaurant traditionnel;21 RUE CEINTE;35120 DOL DE BRETAGNE;-1.7549528539996;48.550592535
LE SAINT SAUVEUR;Restaurant traditionnel;6, RUE SAINT SAUVEUR;35000 RENNES;-1.6823126559996;48.111744475
LE SANCHEZ;Restaurant traditionnel;9 RUE DE LA VIEILLE BOUCHERIE;35400 ST MALO;-2.02538;48.6488471
LE SEBASTIANO;Restaurant traditionnel;15 PLACE DE L EGLISE;35890 BOURG DES COMPTES;-1.7382030401062;47.928814376075
LE SNACK;Snack (sur place);7 RUE SAINTE BARBE;35400 ST MALO;-2.0243569039995;48.650444854
LE SULTAN;Fast-food;67 AVENUE ANDRE BONNIN;35135 CHANTEPIE;-1.6194354621155;48.088509150153
LE TEMPS QU'IL FAUT;Restaurant traditionnel;19 RUE DU TEMPLE;35150 PIRE SUR SEICHE;-1.4291555;48.009094
LE THEATRE;Brasserie;333 BOULEVARD DU GENERAL DE GAULLE;35800 ST LUNAIRE;-2.1108547049996;48.636972652001
LE VALY;Brasserie;148 B RUE DE LORIENT;35000 RENNES;-1.7149887762998;48.107829226759
LE VÉNITIEN;Restaurant de spécialités;48 RUE LEJAMPTEL;35120 DOL DE BRETAGNE;-1.7520718935599;48.550935268942
LE WOK RESTAURANT;Restaurant de spécialités;2 AVENUE JEAN JANVIER;35000 RENNES;-1.6737422364821;48.108608916181
LECLERC;Self-service, cafétéria (sur place);27;35470 BAIN DE BRETAGNE;-1.6820257529999;47.839195
LEON LE COCHON AU STADE RENNAIS;Restaurant traditionnel;111 Rue de Lorient;35000 RENNES;-1.7128875;48.1075474
LEPI DE BLE;Restaurant de spécialités;CAP MALO;35520 LA MEZIERE;-1.7275900551088;48.2008000717
LES 3 SINGES;Brasserie;9 RUE DE MONTIGNE;35132 VEZIN LE COQUET;-1.743499010416;48.105856710486
